Nepal,Devanagari,Character
70656,2309,a
70657,2310,ā
70658,2311,i
70659,2312,ī
70660,2313,u
70661,2314,ū
70662,2315,ṛ
70663,2400,ṝ
70664,2316,ḷ
70665,2401,ḹ
70666,2319,e
70667,2320,ai
70668,2323,o
70669,2324,au
70656,2309,aṁ
70656,2309,aṃ
70656,2309,aḥ
70670,2325,ka
70671,2326,kha
70672,2327,ga
70673,2328,gha
70674,2329,ṅa
70676,2330,ca
70677,2331,cha
70678,2332,ja
70679,2333,jha
70680,2334,ña
70682,2335,ṭa
70683,2336,ṭha
70684,2337,ḍa
70685,2338,ḍha
70686,2339,ṇa
70687,2340,ta
70688,2341,tha
70689,2342,da
70690,2343,dha
70691,2344,na
70693,2346,pa
70694,2347,pha
70695,2348,ba
70696,2349,bha
70697,2350,ma
70699,2351,ya
70700,2352,ra
70702,2354,la
70704,2357,va
70705,2358,śa
70706,2359,ṣa
70707,2360,sa
70708,2361,ha
70670,2325,kṣa
70687,2340,tra
70678,2332,jña
70709,2366,ā_modifier
70710,2367,i_modifier
70711,2368,ī_modifier
70712,2369,u_modifier
70713,2370,ū_modifier
70714,2371,ṛ_modifier
70718,2375,e_modifier
9676,2376,ai_modifier
70720,2379,o_modifier
70721,2380,au_modifier
70722,2381,virāma
70723,2305,candrabindu_ṁ
70724,2306,anusvara_ṃ
70725,2307,visarga_ḥ
70727,2365,avagraha
70728,2306,final_anusvara
70729,2384,oṃ
70730,43260,siddhi
70731,2404,danda
70732,2405,double_danda
70733,44,comma
70734,43257,gap_filler
70735,46,dot
8204,8204,zwnj
8205,8205,zwj
70736,2406,0
70737,2407,1
70738,2408,2
70739,2409,3
70740,2410,4
70741,2411,5
70742,2412,6
70743,2413,7
70744,2414,8
70745,2415,9
70746,44,double_comma
70747,43256,placeholder_mark
70749,43258,insertion_sign
42340,42340,pushpa
40,40,(
41,41,)
45,45,-
61,61,equal_sign
58,58,:
63,63,?
39,39,single_quotation
34,34,double_quotation
33,33,!
59,59,;
35,35,hash
32,32,space